Word,Length,Freq_HAL,Log_Freq_HAL,NSyll,
triangle,8,"5,436",8.601,3,0.757272763
dentures,8,192,5.257,2,0.10365851
parody,6,"3,751",8.23,3,0.79775424
entropy,7,"3,190",8.068,3,0.69061156
anonymous,9,"60,353",11.008,4,0.070994071
subpoena,8,515,6.244,3,0.198261505
managed,7,"22,215",10.009,2,0.592466164
publish,7,"10,307",9.241,2,0.089533178
govern,6,"2,022",7.612,2,0.006168896
bloodless,9,104,4.644,2,0.642875575
gazes,5,169,5.13,2,0.844881942
slightly,8,"35,773",10.485,2,0.947452778
bamboo,6,"1,198",7.088,2,0.506194971
inversion,9,778,6.657,3,0.797812359
fetching,8,558,6.324,2,0.682426048
amidst,6,693,6.541,2,0.273329865
stagger,7,353,5.866,2,0.27494018
ready,5,"43,959",10.691,2,0.021593712
checkout,8,975,6.882,2,0.025841664
arrow,5,"7,324",8.899,2,0.051982729
sliding,7,"4,432",8.397,2,0.392076735
integral,8,"4,192",8.341,3,0.580061253
analysis,8,"47,575",10.77,4,0.54042649
perform,7,"24,590",10.11,2,0.485056062
pepperoni,9,232,5.447,4,0.520633428
oppose,6,"6,419",8.767,2,0.113076392
chemical,8,"15,316",9.637,3,0.703732237
formation,9,"6,756",8.818,3,0.321162184
personify,9,57,4.043,4,0.524812006
posing,6,"1,611",7.385,2,0.249950793
loneliest,9,42,3.738,3,0.861552765
rejoiced,8,154,5.037,2,0.107794232
serving,7,"10,926",9.299,2,0.142921272
nostril,7,376,5.93,2,0.502726029
seasoning,9,418,6.035,3,0.587830412
pester,6,239,5.476,2,0.154118649
halter,6,443,6.094,2,0.929855884
enacted,7,"2,791",7.934,3,0.646599401
cookbook,8,"2,402",7.784,2,0.542865035
digest,6,"14,159",9.558,2,0.477988285
burning,7,"9,931",9.203,2,0.390005821
cherry,6,"4,370",8.383,2,0.609865859
afford,6,"18,642",9.833,2,0.67045558
gaining,7,"4,039",8.304,2,0.551956929
trophy,6,"2,193",7.693,2,0.216132188
amplifier,9,"2,898",7.972,3,0.220993912
official,8,"44,245",10.697,3,0.508848488
lawsuit,7,"3,855",8.257,2,0.382009265
disperse,8,548,6.306,2,0.106093908
robbery,7,"2,155",7.676,3,0.79775466
stalemate,9,471,6.155,2,0.581728126
terrify,7,112,4.718,3,0.042021036
uncounted,9,95,4.554,3,0.925142991
obtuse,6,592,6.384,2,0.182865412
rivet,5,292,5.677,2,0.270399415
amaze,5,803,6.688,2,0.649834952
abhorrent,9,366,5.903,3,0.698906902
cessation,9,661,6.494,3,0.813639347
mopping,7,720,6.579,2,0.466786901
urgency,7,872,6.771,3,0.070134477
railway,7,"2,946",7.988,2,0.90962221
monopoly,8,"4,878",8.492,4,0.407778356
handcuff,8,119,4.779,2,0.194052625
martial,7,"7,072",8.864,2,0.973060805
patio,5,698,6.548,3,0.130805198
caution,7,"4,352",8.378,2,0.874394521
exit,4,"25,629",10.151,2,0.829087548
tipoff,6,75,4.317,2,0.599029718
anemic,6,303,5.714,3,0.732792683
statute,7,"3,599",8.188,2,0.287352974
boutique,8,687,6.532,2,0.119093129
turntable,9,703,6.555,3,0.784556266
hustle,6,786,6.667,2,0.642478403
pollute,7,628,6.443,2,0.283749753
vaporize,8,235,5.46,3,0.020032803
teamwork,8,"1,217",7.104,2,0.119430854
showdown,8,"1,104",7.007,2,0.675367888
burrowing,9,"2,537",7.839,3,0.700721654
antique,7,"3,346",8.116,2,0.306398804
envelop,7,372,5.919,3,0.633439891
dominion,8,"2,164",7.68,3,0.068188928
ignoble,7,80,4.382,3,0.194295514
terming,7,39,3.664,2,0.335342043
omission,8,"1,057",6.963,3,0.890348677
contact,7,"141,845",11.862,2,0.10050164
sequence,8,"102,898",11.541,2,0.822431721
deadly,6,"5,362",8.587,2,0.316112028
sputter,7,198,5.288,2,0.84432787
upstairs,8,"2,640",7.879,2,0.940571257
result,6,"66,995",11.112,2,0.277865497
garment,7,"1,073",6.978,2,0.104498561
angry,5,"13,441",9.506,2,0.456087888
forgive,7,"8,912",9.095,2,0.092617509
acorn,5,"8,301",9.024,2,0.973661891
nameplate,9,199,5.293,2,0.227520398
sullen,6,245,5.501,2,0.834346525
listless,8,112,4.718,2,0.041215876
volume,6,"40,289",10.604,2,0.953223946
relaying,8,302,5.71,3,0.996516502
repayment,9,500,6.215,3,0.332111405
rearrange,9,797,6.681,2,0.460634574
daylight,8,"2,085",7.643,2,0.400765673
kettle,6,"1,499",7.313,2,0.384575184
lentils,7,337,5.82,2,0.098299185
deserve,7,"11,987",9.392,2,0.538796913
scatter,7,845,6.739,2,0.02250528
unmarked,8,858,6.755,2,0.321835738
image,5,"63,630",11.061,2,0.624411414
summon,6,"5,052",8.528,2,0.306356518
laser,5,"16,120",9.688,2,0.557635537
aqueduct,8,60,4.094,3,0.711164294
dialect,7,"2,269",7.727,2,0.215919378
spaceship,9,"1,094",6.998,2,0.109725466
nature,6,"51,563",10.851,2,0.628627972
resonant,8,724,6.585,3,0.995597721
uncorked,8,34,3.526,2,0.543685432
befriend,8,130,4.868,2,0.627415583
primal,6,"5,558",8.623,2,0.05140208
regards,7,"29,212",10.282,2,0.773307384
surround,8,"3,286",8.097,2,0.29117657
stranded,8,"2,482",7.817,2,0.89774133
fracture,8,803,6.688,2,0.331288394
harder,6,"17,821",9.788,2,0.986458164
turning,7,"19,045",9.855,2,0.810295046
irregular,9,"2,127",7.662,4,0.485437642
deeper,6,"7,003",8.854,2,0.127457576
extruded,8,191,5.252,3,0.564154602
emission,8,"1,831",7.513,3,0.211650757
infusion,8,708,6.562,3,0.706079721
resent,6,"1,894",7.546,2,0.643633507
unversed,8,10,2.303,2,0.402437205
mounting,8,"4,678",8.451,2,0.900993327
destroy,7,"17,424",9.766,2,0.588151294
miracle,7,"5,864",8.677,3,0.346324324
infested,8,587,6.375,3,0.57574968
actively,8,"7,101",8.868,3,0.876104345
permeable,9,110,4.7,3,0.820358235
jungle,6,"5,505",8.613,2,0.558716835
student,7,"56,461",10.941,2,0.656209112
coverall,8,25,3.219,3,0.465426138
venturous,9,6,1.792,3,0.145975248
digested,8,"14,971",9.614,3,0.138818033
enunciate,9,37,3.611,4,0.625452989
stooping,8,150,5.011,2,0.527655871
artifact,8,"43,646",10.684,3,0.237595067
rationale,9,"2,666",7.888,3,0.898864384
tucker,6,"3,303",8.103,2,0.410368822
ordinary,8,"11,769",9.373,4,0.46236697
pillage,7,372,5.919,2,0.094518031
senior,6,"29,912",10.306,2,0.124872264
moral,5,"21,254",9.964,2,0.064456465
throttle,8,"4,162",8.334,2,0.971929452
define,6,"24,310",10.099,2,0.661500888
hangar,6,675,6.515,2,0.15031099
maroon,6,576,6.356,2,0.542701121
inverted,8,"1,755",7.47,3,0.31739364
mixture,7,"7,659",8.944,2,0.703400051
perishing,9,39,3.664,3,0.775392997
populace,8,"2,005",7.603,3,0.772399539
emergence,9,"1,421",7.259,3,0.378268398
mining,6,"3,567",8.179,2,0.546570588
exemplify,9,105,4.654,4,0.478703587
insertion,9,"2,177",7.686,3,0.494608878
anterior,8,839,6.732,3,0.996265909
holdup,6,94,4.543,2,0.06266929
picnic,6,"1,374",7.225,2,0.260225482
reconcile,9,"1,178",7.072,3,0.274213109
moisture,8,"2,339",7.757,2,0.495944289
dehydrate,9,69,4.234,3,0.978010177
restock,7,140,4.942,2,0.180827173
criminal,8,"19,615",9.884,3,0.754543034
railroad,8,"4,755",8.467,2,0.599592274
hotplate,8,17,2.833,2,0.21819216
massacre,8,"3,496",8.159,3,0.067336726
compose,7,"2,629",7.874,2,0.82786725
scarlet,7,"1,762",7.474,2,0.621810647
recollect,9,301,5.707,3,0.232658032
release,7,"76,651",11.247,2,0.662845114
collision,9,"2,733",7.913,3,0.407236931
realize,7,"34,837",10.458,2,0.531640456
saucer,6,"1,272",7.148,2,0.735411743
gymnasium,9,252,5.529,3,0.83478133
rudder,6,"1,273",7.149,2,0.220537315
frequency,9,"22,489",10.021,3,0.028011526
single,6,"94,811",11.46,2,0.532594178
outrank,7,105,4.654,2,0.599973761
solidity,8,135,4.905,4,0.962672316
butler,6,"3,657",8.204,2,0.946970135
rapport,7,745,6.613,2,0.470841241
mystery,7,"10,205",9.231,3,0.238095587
deceit,6,921,6.825,2,0.930627143
painter,7,"1,728",7.455,2,0.170511996
submit,6,"23,589",10.069,2,0.387021126
volition,8,455,6.12,3,0.841188883
attract,7,"5,510",8.614,2,0.903713776
ulcer,5,398,5.986,2,0.803252597
marvel,6,"19,626",9.885,2,0.929661818
pariah,6,232,5.447,2,0.322606942
airline,7,"5,136",8.544,2,0.064756813
caloric,7,313,5.746,3,0.797083074
pressing,8,"8,070",8.996,2,0.84307185
stifle,6,750,6.62,2,0.838685677
inducing,8,625,6.438,3,0.415960481
recount,7,337,5.82,2,0.059104933
unlined,7,36,3.584,2,0.419261496
attended,8,"6,928",8.843,3,0.589207118
dealer,6,"17,655",9.779,2,0.818355217
courier,7,"4,212",8.346,2,0.215322646
shivering,9,441,6.089,3,0.821293413
reforest,8,14,2.639,3,0.670738148
innocent,8,"12,203",9.409,3,0.220989665
flicking,8,469,6.151,2,0.184431021
illness,7,"5,875",8.678,2,0.507238636
calming,7,508,6.23,2,0.777082096
assent,6,478,6.17,2,0.682715704
brighten,8,329,5.796,2,0.344965843
triplet,7,252,5.529,2,0.316851586
marinate,8,135,4.905,3,0.088246873
static,6,"16,740",9.726,2,0.968535933
blueberry,9,318,5.762,3,0.417675158
wrestle,7,952,6.859,2,0.138641584
maiden,6,"5,557",8.623,2,0.982185632
bickering,9,927,6.832,3,0.302632028
whirling,8,"2,788",7.933,2,0.185456025
handle,6,"46,491",10.747,2,0.713511241
seeming,7,"1,342",7.202,2,0.069187264
fragment,8,"14,674",9.594,2,0.506011187
companion,9,"7,669",8.945,3,0.038886149
violate,7,"5,113",8.54,2,0.460275858
confined,8,"2,546",7.842,2,0.76378394
presently,9,"6,963",8.848,3,0.166222547
supplier,8,"5,912",8.685,2,0.65577983
uncle,5,"10,780",9.285,2,0.829524303
ascending,9,613,6.418,3,0.431634617
awful,5,"8,797",9.082,2,0.200540613
standard,8,"108,320",11.593,2,0.010260176
lofty,5,640,6.461,2,0.003239389
coupling,8,"1,218",7.105,3,0.684334412
curtail,7,645,6.469,2,0.872311994
disuse,6,127,4.844,2,0.751562422
intercede,9,170,5.136,3,0.334181579
melodic,7,"1,048",6.955,3,0.501400024
urgent,6,"3,812",8.246,2,0.067768421
condensed,9,"1,508",7.319,2,0.889627452
partner,7,"17,565",9.774,2,0.580717716
tinker,6,860,6.757,2,0.752482746
twenties,8,833,6.725,2,0.521681478
decant,6,45,3.807,2,0.669663137
humanize,8,142,4.956,3,0.651132785
midday,6,373,5.922,2,0.544246424
planar,6,"2,438",7.799,2,0.908155917
trooper,7,"1,773",7.48,2,0.541640699
mullet,6,142,4.956,2,0.635175697
colicky,7,40,3.689,3,0.473264761
pocket,6,"10,760",9.284,2,0.26515421
castaway,8,41,3.714,3,0.194162099
renown,6,321,5.771,2,0.861465248
regiment,8,"1,400",7.244,3,0.013638334
unspoken,8,442,6.091,3,0.649446785
comment,7,"41,761",10.64,2,0.895837702
thesis,6,"6,281",8.745,2,0.350689192
achieve,7,"15,544",9.651,2,0.70800646
causality,9,"1,476",7.297,4,0.437201159
medium,6,"19,072",9.856,2,0.396181514
extend,6,"9,373",9.146,2,0.765800489
skiing,6,"5,768",8.66,2,0.701039895
buzzer,6,458,6.127,2,0.267293223
sequence,8,"102,898",11.541,2,0.779442805
surface,7,"25,649",10.152,2,0.716604943
aligning,8,335,5.814,3,0.472086367
finish,6,"18,398",9.82,2,0.923485009
catacomb,8,83,4.419,3,0.551687993
bedding,7,802,6.687,2,0.184714444
grieving,8,411,6.019,2,0.636249109
landing,7,"7,575",8.933,2,0.07920699
persona,7,"2,742",7.916,3,0.576254823
giving,6,"44,099",10.694,2,0.389467979
exclusion,9,"2,375",7.773,3,0.751302881
baseline,8,"1,532",7.334,2,0.219095268
equitable,9,"1,003",6.911,4,0.691506728
overcoat,8,207,5.333,3,0.63747661
armada,6,"1,147",7.045,3,0.859817862
category,8,"17,024",9.742,4,0.803529293
happen,6,"66,094",11.099,2,0.173414619
region,6,"27,072",10.206,2,0.301343839
manage,6,"18,086",9.803,2,0.584850439
pretzel,7,152,5.024,2,0.8993345
corduroy,8,195,5.273,3,0.209120657
arbitrary,9,"7,685",8.947,4,0.529950612
module,6,"15,712",9.662,2,0.454052538
become,6,"93,420",11.445,2,0.251756548
number,6,"283,001",12.553,2,0.497214628
record,6,"61,996",11.035,2,0.773184454
potatoes,8,"2,572",7.852,3,0.254988567
lifetime,8,"8,373",9.033,2,0.838394461
border,6,"16,800",9.729,2,0.008797743
booster,7,"6,912",8.841,2,0.936898013
prison,6,"13,247",9.492,2,0.780601053
airmen,6,207,5.333,2,0.990235711
afternoon,9,"10,525",9.262,3,0.954068007
apology,7,"4,124",8.325,4,0.925857
slogan,6,"1,544",7.342,2,0.467689045
sampling,8,"3,880",8.264,3,0.155341968
childhood,9,"5,514",8.615,2,0.825036285
visible,7,"12,546",9.437,3,0.214136482
probable,8,"4,356",8.379,3,0.188696519
dreaded,7,"1,705",7.441,2,0.72385496
prominent,9,"5,159",8.548,3,0.719560126
typical,7,"21,919",9.995,3,0.83979591
epic,4,"5,310",8.577,2,0.110548535
embrace,7,"3,151",8.055,2,0.320148456
aviation,8,"4,453",8.401,4,0.862863807
sustain,7,"3,108",8.042,2,0.995449489
optional,8,"11,022",9.308,3,0.192025815
widely,6,"13,343",9.499,2,0.738999113
talent,6,"10,443",9.254,2,0.327002877
arrival,7,"6,175",8.728,3,0.68771568
correct,7,"77,798",11.262,2,0.536735116
larger,6,"34,250",10.441,2,0.404097839
efficient,9,"13,335",9.498,3,0.661674678
encounter,9,"8,451",9.042,3,0.055871495
advantage,9,"33,506",10.419,3,0.03966199
levels,6,"38,708",10.564,2,0.316579384
crazy,5,"17,520",9.771,2,0.669296171
paying,6,"26,011",10.166,2,0.781120212
practice,8,"44,294",10.699,2,0.800118402
minister,8,"22,530",10.023,3,0.66510127
company,7,"156,262",11.959,3,0.322891469
design,6,"110,689",11.614,2,0.756188951
movie,5,"61,248",11.023,2,0.256326713
knowledge,9,"83,911",11.338,2,0.095691369
actual,6,"40,919",10.619,2,0.627934377
create,6,"73,169",11.201,2,0.343269807
engineer,8,"47,390",10.766,3,0.917605196
country,7,"106,711",11.578,2,0.401163248
function,8,"57,907",10.967,2,0.133144398
professor,9,"18,143",9.806,3,0.842894292
suddenly,8,"21,143",9.959,3,0.900113257
living,6,"75,436",11.231,2,0.319089667
provide,7,"102,813",11.541,2,0.592713769
except,6,"83,885",11.337,2,0.561890292
ahead,5,"25,862",10.161,2,0.3229336
presence,8,"23,804",10.078,2,0.890609408
army,4,"34,024",10.435,2,0.88887772
computer,8,"253,358",12.443,3,0.994663663
party,5,"68,745",11.138,2,0.804192611
figure,6,"56,510",10.942,2,0.447992518
matter,6,"110,274",11.611,2,0.917099697
other,5,"897,942",13.708,2,0.684555112
maintain,8,"27,327",10.216,2,0.085205496
failure,7,"23,998",10.086,2,0.06063644
previous,8,"68,239",11.131,2,0.369658466
usually,7,"106,388",11.575,3,0.737456694
religious,9,"37,776",10.539,3,0.87245707
helpful,7,"26,425",10.182,2,0.470433777
even,4,"490,549",13.103,2,0.122414435
itself,6,"76,297",11.242,2,0.919287528
parent,6,"14,797",9.602,2,0.773807349
resume,6,"80,442",11.295,2,0.274145017
desert,6,"17,569",9.774,2,0.415650603
intended,8,"32,601",10.392,3,0.636104486
elderly,7,"3,693",8.214,3,0.250926889
issue,5,"117,620",11.675,2,0.033634119
boulder,7,"6,519",8.782,2,0.652468359
series,6,"90,751",11.416,2,0.555046757
cassette,8,"6,887",8.837,2,0.020516227
bother,6,"20,419",9.924,2,0.495952448
paranoid,8,"5,408",8.596,3,0.809590894
disease,7,"23,168",10.051,2,0.289039137
budget,6,"29,992",10.309,2,0.843875576
command,7,"85,016",11.351,2,0.767826525
rainfall,8,547,6.304,2,0.852505609
forecast,8,"3,069",8.029,2,0.587109079
emotion,7,"4,530",8.418,3,0.475708274
acoustic,8,"5,401",8.594,3,0.611528942
filter,6,"17,869",9.791,2,0.396004992
argue,5,"20,857",9.945,2,0.598185154
ergonomic,9,709,6.564,4,0.661975345
truthful,8,"1,203",7.093,2,0.314206482
prohibit,8,"3,665",8.207,3,0.970169227
